Geoid,Tract,Year,type,County,CRA Eligible
6081500200,5002.0,2013,mod,Santa Clara County,eligible
6081500300,5003.0,2013,mid,Santa Clara County,not eligible
6081500400,5004.0,2013,mod,Santa Clara County,eligible
6081500500,5005.0,2013,high,Santa Clara County,not eligible
6081500600,5006.0,2013,mid,Santa Clara County,not eligible
6081500800,5008.0,2013,low,Santa Clara County,eligible
6081500901,5009.01,2013,mod,Santa Clara County,eligible
6081500902,5009.02,2013,low,Santa Clara County,eligible
6081501000,5010.0,2013,mod,Santa Clara County,eligible
6081501101,5011.01,2013,mod,Santa Clara County,eligible
6081501102,5011.02,2013,mod,Santa Clara County,eligible
6081501200,5012.0,2013,low,Santa Clara County,eligible
6081501300,5013.0,2013,mid,Santa Clara County,not eligible
6081501401,5014.01,2013,low,Santa Clara County,eligible
6081501402,5014.02,2013,mod,Santa Clara County,eligible
6081501501,5015.01,2013,low,Santa Clara County,eligible
6081501502,5015.02,2013,low,Santa Clara County,eligible
6081501600,5016.0,2013,low,Santa Clara County,eligible
6081501700,5017.0,2013,low,Santa Clara County,eligible
6081501800,5018.0,2013,mid,Santa Clara County,not eligible
6081501900,5019.0,2013,mod,Santa Clara County,eligible
6081502001,5020.01,2013,low,Santa Clara County,eligible
6081502002,5020.02,2013,low,Santa Clara County,eligible
6081502101,5021.01,2013,mid,Santa Clara County,not eligible
6081502102,5021.02,2013,low,Santa Clara County,eligible
6081502201,5022.01,2013,mod,Santa Clara County,eligible
6081502202,5022.02,2013,mid,Santa Clara County,not eligible
6081502301,5023.01,2013,mid,Santa Clara County,not eligible
6081502302,5023.02,2013,mid,Santa Clara County,not eligible
6081502400,5024.0,2013,high,Santa Clara County,not eligible
6081502500,5025.0,2013,high,Santa Clara County,not eligible
6081502601,5026.01,2013,high,Santa Clara County,not eligible
6081502603,5026.03,2013,high,Santa Clara County,not eligible
6081502604,5026.04,2013,mod,Santa Clara County,eligible
6081502701,5027.01,2013,mid,Santa Clara County,not eligible
6081502702,5027.02,2013,mid,Santa Clara County,not eligible
6081502800,5028.0,2013,mid,Santa Clara County,not eligible
6081502901,5029.01,2013,mid,Santa Clara County,not eligible
6081502902,5029.02,2013,mid,Santa Clara County,not eligible
6081502903,5029.03,2013,high,Santa Clara County,not eligible
6081502906,5029.06,2013,mid,Santa Clara County,not eligible
6081502907,5029.07,2013,mid,Santa Clara County,not eligible
6081502908,5029.08,2013,mid,Santa Clara County,not eligible
