GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached",Estimate; 2,Margin of Error; 2,Estimate; 3 or 4,Margin of Error; 3 or 4,Estimate; 5 to 9,Margin of Error; 5 to 9,Estimate; 10 to 19,Margin of Error; 10 to 19,Estimate; 20 to 49,Margin of Error; 20 to 49,Estimate; 50 or more,Margin of Error; 50 or more,Estimate; Mobile home,Margin of Error; Mobile home,"Estimate; Boat, RV, van, etc.","Margin of Error; Boat, RV, van, etc."
1400000US06067006800,06067006800,"Census Tract 68, Sacramento County, California",2408,106,1251,178,76,70,17,27,310,135,197,106,213,122,244,127,100,98,0,132,0,132
1400000US06067006900,06067006900,"Census Tract 69, Sacramento County, California",2378,109,1131,165,63,50,92,75,196,131,335,195,186,100,84,47,35,56,256,86,0,132
1400000US06067007001,06067007001,"Census Tract 70.01, Sacramento County, California",1241,75,938,98,23,26,25,31,63,59,63,62,28,44,30,37,0,132,71,40,0,132
1400000US06067007004,06067007004,"Census Tract 70.04, Sacramento County, California",2877,64,1169,206,47,52,19,25,300,133,646,221,471,169,44,59,181,97,0,132,0,132
1400000US06067007007,06067007007,"Census Tract 70.07, Sacramento County, California",1666,62,1275,129,109,81,0,132,63,58,78,57,29,46,0,132,94,52,18,20,0,132
1400000US06067007008,06067007008,"Census Tract 70.08, Sacramento County, California",6214,168,3394,255,248,114,36,45,325,136,566,192,794,216,196,133,497,119,158,64,0,132
1400000US06067007009,06067007009,"Census Tract 70.09, Sacramento County, California",1717,35,1005,88,100,43,20,23,64,46,360,124,89,76,34,52,45,35,0,132,0,132
1400000US06067007010,06067007010,"Census Tract 70.10, Sacramento County, California",2003,48,351,106,55,57,20,25,301,99,685,158,254,98,136,88,201,79,0,132,0,132
1400000US06067007011,06067007011,"Census Tract 70.11, Sacramento County, California",2592,63,791,136,68,46,64,61,240,130,544,181,562,189,125,92,167,62,31,51,0,132
1400000US06067007012,06067007012,"Census Tract 70.12, Sacramento County, California",1502,32,712,100,436,113,44,54,91,46,164,84,34,52,0,132,21,29,0,132,0,132
1400000US06067007013,06067007013,"Census Tract 70.13, Sacramento County, California",1063,23,600,93,165,59,0,132,14,24,91,67,154,83,0,132,30,28,9,18,0,132
1400000US06067007014,06067007014,"Census Tract 70.14, Sacramento County, California",2923,42,1626,159,109,59,190,106,271,85,408,132,158,89,42,58,119,58,0,132,0,132
1400000US06067007100,06067007100,"Census Tract 71, Sacramento County, California",12792,238,9662,347,498,113,26,41,473,193,666,175,625,218,386,164,412,105,28,32,16,24
1400000US06067007202,06067007202,"Census Tract 72.02, Sacramento County, California",1372,47,1191,71,17,22,0,132,10,20,56,42,0,132,31,29,38,40,29,47,0,132
1400000US06067007204,06067007204,"Census Tract 72.04, Sacramento County, California",1579,42,1539,50,34,24,0,132,0,132,0,132,0,132,0,132,6,10,0,132,0,132
1400000US06067007206,06067007206,"Census Tract 72.06, Sacramento County, California",1342,45,1305,50,14,17,0,132,0,132,0,132,0,132,0,132,0,132,23,19,0,132
1400000US06067007207,06067007207,"Census Tract 72.07, Sacramento County, California",1456,31,1324,78,10,18,57,56,59,63,0,132,0,132,0,132,0,132,0,132,6,10
1400000US06067007208,06067007208,"Census Tract 72.08, Sacramento County, California",1474,81,1341,90,9,15,0,132,16,26,7,12,13,21,0,132,0,132,88,51,0,132
1400000US06067007209,06067007209,"Census Tract 72.09, Sacramento County, California",1328,35,1217,77,0,132,32,48,21,24,44,55,0,132,14,21,0,132,0,132,0,132
1400000US06067007300,06067007300,"Census Tract 73, Sacramento County, California",130,82,28,45,54,48,0,132,0,132,8,14,40,54,0,132,0,132,0,132,0,132
1400000US06067007402,06067007402,"Census Tract 74.02, Sacramento County, California",2119,29,2044,59,34,37,14,24,0,132,19,32,8,12,0,132,0,132,0,132,0,132
1400000US06067007403,06067007403,"Census Tract 74.03, Sacramento County, California",1435,60,1363,82,35,35,14,22,0,132,0,132,8,15,15,24,0,132,0,132,0,132
1400000US06067007404,06067007404,"Census Tract 74.04, Sacramento County, California",1526,52,1212,130,8,14,28,25,71,36,35,33,36,31,53,50,83,65,0,132,0,132
1400000US06067007406,06067007406,"Census Tract 74.06, Sacramento County, California",2423,39,2147,127,26,38,0,132,39,59,84,88,0,132,0,132,0,132,127,79,0,132
1400000US06067007413,06067007413,"Census Tract 74.13, Sacramento County, California",2636,50,754,156,176,108,60,51,328,141,218,138,153,104,143,106,64,45,593,159,147,172
1400000US06067007414,06067007414,"Census Tract 74.14, Sacramento County, California",1467,33,1045,113,27,28,35,51,69,62,49,51,108,83,0,132,107,65,27,39,0,132
1400000US06067007415,06067007415,"Census Tract 74.15, Sacramento County, California",1205,30,960,83,94,57,0,132,151,81,0,132,0,132,0,132,0,132,0,132,0,132
1400000US06067007416,06067007416,"Census Tract 74.16, Sacramento County, California",1584,32,938,111,268,97,73,55,67,49,7,14,16,24,0,132,0,132,215,50,0,132
1400000US06067007417,06067007417,"Census Tract 74.17, Sacramento County, California",945,23,905,58,6,11,0,132,0,132,0,132,0,132,0,132,0,132,34,52,0,132
1400000US06067007418,06067007418,"Census Tract 74.18, Sacramento County, California",3709,52,3257,151,75,48,10,16,27,45,168,95,112,97,60,49,0,132,0,132,0,132
1400000US06067007419,06067007419,"Census Tract 74.19, Sacramento County, California",4187,72,3065,247,72,56,16,27,67,50,400,203,179,96,257,226,131,65,0,132,0,132
1400000US06067007420,06067007420,"Census Tract 74.20, Sacramento County, California",3202,52,1979,221,553,169,208,128,71,78,207,98,121,102,11,20,52,42,0,132,0,132
1400000US06067007421,06067007421,"Census Tract 74.21, Sacramento County, California",2743,40,2730,43,13,21,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US06067007422,06067007422,"Census Tract 74.22, Sacramento County, California",961,16,628,90,73,55,108,70,12,21,31,50,89,62,0,132,14,20,0,132,6,11
1400000US06067007423,06067007423,"Census Tract 74.23, Sacramento County, California",2187,43,314,91,105,67,46,44,503,126,420,125,511,135,87,58,201,79,0,132,0,132
1400000US06067007424,06067007424,"Census Tract 74.24, Sacramento County, California",1416,26,588,100,337,104,152,82,59,46,97,74,105,76,17,27,41,38,20,22,0,132
1400000US06067007425,06067007425,"Census Tract 74.25, Sacramento County, California",3294,45,2037,187,52,53,64,64,259,135,384,166,306,141,43,52,149,96,0,132,0,132
1400000US06067007501,06067007501,"Census Tract 75.01, Sacramento County, California",2660,42,1064,164,495,146,114,76,211,136,416,167,106,88,93,58,131,69,30,49,0,132
1400000US06067007503,06067007503,"Census Tract 75.03, Sacramento County, California",2260,70,752,152,279,111,255,155,339,128,303,164,69,66,85,76,135,65,21,24,22,21
1400000US06067007504,06067007504,"Census Tract 75.04, Sacramento County, California",872,45,443,76,150,53,23,29,89,73,64,59,61,56,28,22,14,21,0,132,0,132
1400000US06067007601,06067007601,"Census Tract 76.01, Sacramento County, California",3096,81,1125,142,313,119,19,30,500,156,426,185,43,66,51,44,582,136,37,59,0,132
1400000US06067007602,06067007602,"Census Tract 76.02, Sacramento County, California",2005,82,978,120,316,109,114,74,216,98,113,97,141,78,48,36,79,50,0,132,0,132
1400000US06067007701,06067007701,"Census Tract 77.01, Sacramento County, California",2898,80,1326,165,217,108,124,99,372,151,342,142,149,106,221,105,147,82,0,132,0,132
1400000US06067007702,06067007702,"Census Tract 77.02, Sacramento County, California",2070,35,1413,116,107,65,119,79,78,64,38,37,32,34,100,78,183,86,0,132,0,132
1400000US06067007801,06067007801,"Census Tract 78.01, Sacramento County, California",2571,48,1353,175,257,116,119,119,225,123,250,155,51,49,96,73,220,89,0,132,0,132
1400000US06067007802,06067007802,"Census Tract 78.02, Sacramento County, California",2117,52,1128,153,188,82,37,57,144,98,252,104,142,89,106,76,94,70,15,23,11,20
1400000US06067007903,06067007903,"Census Tract 79.03, Sacramento County, California",2003,38,1494,122,198,83,193,113,0,132,0,132,0,132,11,17,107,48,0,132,0,132
1400000US06067007904,06067007904,"Census Tract 79.04, Sacramento County, California",1991,28,1704,105,180,99,99,69,8,15,0,132,0,132,0,132,0,132,0,132,0,132
1400000US06067007905,06067007905,"Census Tract 79.05, Sacramento County, California",1775,59,1452,97,24,26,15,23,71,66,26,28,26,29,84,58,67,47,10,17,0,132
1400000US06067007906,06067007906,"Census Tract 79.06, Sacramento County, California",1669,30,1020,94,69,47,37,48,57,46,215,106,127,77,19,21,125,58,0,132,0,132
1400000US06067008005,06067008005,"Census Tract 80.05, Sacramento County, California",2034,28,1782,80,120,55,0,132,0,132,80,52,43,31,0,132,0,132,9,15,0,132
1400000US06067008006,06067008006,"Census Tract 80.06, Sacramento County, California",2584,42,1827,150,82,42,80,62,181,128,106,90,110,65,46,73,106,67,46,73,0,132
1400000US06067008007,06067008007,"Census Tract 80.07, Sacramento County, California",1500,33,684,97,114,60,24,28,256,97,233,98,113,65,27,26,49,40,0,132,0,132
1400000US06067008008,06067008008,"Census Tract 80.08, Sacramento County, California",2012,52,1596,96,117,68,24,26,159,86,79,63,8,13,0,132,18,19,11,16,0,132
1400000US06067008009,06067008009,"Census Tract 80.09, Sacramento County, California",2100,41,1293,128,135,78,76,67,50,39,148,71,165,84,131,60,90,64,12,19,0,132
1400000US06067008010,06067008010,"Census Tract 80.10, Sacramento County, California",2158,39,1547,145,103,62,146,90,21,34,87,99,161,107,23,37,70,52,0,132,0,132
1400000US06067008111,06067008111,"Census Tract 81.11, Sacramento County, California",2442,67,1977,130,98,68,45,51,111,52,0,132,0,132,0,132,0,132,211,98,0,132
1400000US06067008113,06067008113,"Census Tract 81.13, Sacramento County, California",1502,39,933,108,28,27,18,28,41,42,265,84,137,87,58,36,22,24,0,132,0,132
1400000US06067008117,06067008117,"Census Tract 81.17, Sacramento County, California",848,21,719,62,22,24,11,17,96,54,0,132,0,132,0,132,0,132,0,132,0,132
