GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US06001437101,06001437101,"Census Tract 4371.01, Alameda County, California",7186,486,5709,482,1477,319
1400000US06001437102,06001437102,"Census Tract 4371.02, Alameda County, California",4586,323,3016,324,1570,265
1400000US06001437200,06001437200,"Census Tract 4372, Alameda County, California",7864,689,5628,402,2236,717
1400000US06001437300,06001437300,"Census Tract 4373, Alameda County, California",3229,195,2112,224,1117,189
1400000US06001437400,06001437400,"Census Tract 4374, Alameda County, California",3334,201,1554,153,1780,189
1400000US06001437500,06001437500,"Census Tract 4375, Alameda County, California",4572,288,1517,202,3055,274
1400000US06001437600,06001437600,"Census Tract 4376, Alameda County, California",3829,260,2164,219,1665,205
1400000US06001437701,06001437701,"Census Tract 4377.01, Alameda County, California",3745,312,1513,195,2232,329
1400000US06001437702,06001437702,"Census Tract 4377.02, Alameda County, California",4804,344,1054,224,3750,386
1400000US06001437800,06001437800,"Census Tract 4378, Alameda County, California",4704,338,3156,373,1548,279
1400000US06001437900,06001437900,"Census Tract 4379, Alameda County, California",2454,227,884,132,1570,214
1400000US06001438000,06001438000,"Census Tract 4380, Alameda County, California",3877,346,2431,284,1446,268
1400000US06001438100,06001438100,"Census Tract 4381, Alameda County, California",7491,595,4772,490,2719,461
1400000US06001438201,06001438201,"Census Tract 4382.01, Alameda County, California",5001,442,2227,353,2774,429
1400000US06001438203,06001438203,"Census Tract 4382.03, Alameda County, California",4295,296,3291,306,1004,178
1400000US06001438204,06001438204,"Census Tract 4382.04, Alameda County, California",5467,254,3924,246,1543,192
1400000US06001438300,06001438300,"Census Tract 4383, Alameda County, California",3997,381,2603,292,1394,267
1400000US06001438400,06001438400,"Census Tract 4384, Alameda County, California",2416,203,1676,190,740,101
1400000US06001440100,06001440100,"Census Tract 4401, Alameda County, California",2447,229,1993,210,454,143
1400000US06001440200,06001440200,"Census Tract 4402, Alameda County, California",5970,400,2007,247,3963,396
1400000US06001440301,06001440301,"Census Tract 4403.01, Alameda County, California",7369,507,4683,491,2686,374
1400000US06001440304,06001440304,"Census Tract 4403.04, Alameda County, California",5140,321,4516,330,624,185
1400000US06001440305,06001440305,"Census Tract 4403.05, Alameda County, California",4105,266,3498,282,607,117
1400000US06001440306,06001440306,"Census Tract 4403.06, Alameda County, California",4222,308,3884,324,338,91
1400000US06001440307,06001440307,"Census Tract 4403.07, Alameda County, California",4445,309,3668,335,777,291
1400000US06001440308,06001440308,"Census Tract 4403.08, Alameda County, California",6217,347,4525,398,1692,341
1400000US06001440331,06001440331,"Census Tract 4403.31, Alameda County, California",3373,232,2688,232,685,143
1400000US06001440332,06001440332,"Census Tract 4403.32, Alameda County, California",3612,215,3489,225,123,84
1400000US06001440333,06001440333,"Census Tract 4403.33, Alameda County, California",3073,276,2913,267,160,78
1400000US06001440334,06001440334,"Census Tract 4403.34, Alameda County, California",4536,272,3952,266,584,155
1400000US06001440335,06001440335,"Census Tract 4403.35, Alameda County, California",6979,668,6340,709,639,277
1400000US06001440336,06001440336,"Census Tract 4403.36, Alameda County, California",4949,369,3842,389,1107,239
1400000US06001441100,06001441100,"Census Tract 4411, Alameda County, California",4221,290,3342,254,879,260
1400000US06001441200,06001441200,"Census Tract 4412, Alameda County, California",6977,632,5519,658,1458,368
1400000US06001441301,06001441301,"Census Tract 4413.01, Alameda County, California",3184,209,2925,212,259,133
1400000US06001441302,06001441302,"Census Tract 4413.02, Alameda County, California",5881,307,5019,309,862,179
1400000US06001441401,06001441401,"Census Tract 4414.01, Alameda County, California",8092,670,7070,758,1022,342
1400000US06001441402,06001441402,"Census Tract 4414.02, Alameda County, California",5438,344,5206,349,232,167
1400000US06001441501,06001441501,"Census Tract 4415.01, Alameda County, California",6479,326,5945,353,534,135
1400000US06001441503,06001441503,"Census Tract 4415.03, Alameda County, California",6759,233,6565,293,194,149
1400000US06001441521,06001441521,"Census Tract 4415.21, Alameda County, California",6282,348,5865,317,417,116
1400000US06001441522,06001441522,"Census Tract 4415.22, Alameda County, California",5147,282,4222,253,925,156
1400000US06001441523,06001441523,"Census Tract 4415.23, Alameda County, California",4336,234,4152,234,184,105
