,City Name,"hispanic, LM","hispanic, MH","non hispanic white, LM","non hispanic white, MH","asian, LM","asian, MH","black, LM","black, MH","other, LM","other , MH","missing race/ethnicity, LM","missing race/ethnicity, MH"
113,"Lucas Valley-Marinwood CDP, CA",0.0,0.028,0.0,0.668,0.0,0.092,0.0,0.0,0.0,0.009,0.0,0.203
114,"Marin City CDP, CA",0.008,0.045,0.008,0.549,0.015,0.083,0.0,0.0,0.015,0.023,0.015,0.241
115,"Martinez city, CA",0.013,0.06,0.088,0.436,0.019,0.116,0.0,0.0,0.009,0.034,0.036,0.189
116,"Menlo Park city, CA",0.01,0.019,0.051,0.393,0.095,0.219,0.0,0.0,0.0,0.011,0.043,0.16
117,"Mill Valley city, CA",0.0,0.012,0.0,0.697,0.0,0.031,0.0,0.0,0.0,0.007,0.0,0.254
118,"Millbrae city, CA",0.0,0.024,0.0,0.21,0.0,0.559,0.0,0.0,0.0,0.007,0.0,0.2
119,"Milpitas city, CA",0.009,0.016,0.01,0.043,0.104,0.658,0.0,0.0,0.002,0.01,0.036,0.112
120,"Montalvin Manor CDP, CA",0.0,0.217,0.0,0.179,0.0,0.302,0.0,0.0,0.0,0.085,0.0,0.217
121,"Montara CDP, CA",0.0,0.093,0.0,0.686,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.14
122,"Monte Rio CDP, CA",0.028,0.0,0.673,0.0,0.056,0.0,0.0,0.0,0.019,0.0,0.224,0.0
123,"Monte Sereno city, CA",0.0,0.012,0.0,0.552,0.0,0.254,0.0,0.0,0.0,0.012,0.0,0.169
124,"Moraga town, CA",0.0,0.019,0.0,0.541,0.0,0.178,0.0,0.0,0.0,0.009,0.0,0.253
125,"Morgan Hill city, CA",0.048,0.077,0.128,0.385,0.061,0.127,0.0,0.0,0.007,0.012,0.054,0.1
126,"Moskowite Corner CDP, CA",0.0,0.1,0.0,0.65,0.0,0.025,0.0,0.0,0.0,0.037,0.0,0.188
127,"Moss Beach CDP, CA",0.0,0.093,0.0,0.686,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.14
128,"Mountain View CDP, CA",0.034,0.072,0.094,0.423,0.019,0.079,0.0,0.0,0.026,0.011,0.064,0.177
129,"Mountain View city, CA",0.002,0.017,0.025,0.196,0.038,0.55,0.0,0.0,0.0,0.008,0.023,0.14
