Tract,Year,CRA Eligible
6085506402,2009,eligible
6085506402,2009,eligible
6085506501,2009,eligible
6085506501,2009,eligible
6085506501,2009,eligible
6085506606,2009,not eligible
6085506606,2009,not eligible
6085506702,2009,not eligible
6085508506,2009,not eligible
6085508506,2009,not eligible
6085508703,2009,not eligible
6085508900,2009,eligible
6085508704,2009,not eligible
6085508704,2009,not eligible
6085508704,2009,not eligible
6085508800,2009,not eligible
6085509108,2009,not eligible
6085509302,2009,not eligible
6085509302,2009,not eligible
6085509304,2009,not eligible
6085509304,2009,not eligible
6085509401,2009,not eligible
6085509401,2009,not eligible
6085509401,2009,not eligible
6085510400,2009,not eligible
6085510400,2009,not eligible
6085510500,2009,not eligible
